,Algorithm,Instance,Number of Extracted States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,NumberOfStatesExceeded,QueryLengthExceeded,TimeExceeded,Tree Depth,Inner Nodes,TimeBound,Accuracy,Unknown Results Percentage
0,BoundedQuant_top1,B,3,0,154.08425479615107,1536,1,False,False,True,1,1,120,0.875,0.992
1,BoundedQuant_top1,T,4,0,170.17117135226727,1536,1,False,False,True,1,1,120,0.8625,0.92
