,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero
0,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,1,0.07974188029766083,1128,11,3,4,0.976,0.33,False,False
1,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,2,0.08847109973430634,1128,11,3,4,0.976,0.33,False,False
2,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,3,0.08053841441869736,1128,11,3,4,0.976,0.33,False,False
3,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,4,0.07831224426627159,1128,11,3,4,0.976,0.33,False,False
4,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,5,0.08134545013308525,1128,11,3,4,0.976,0.33,False,False
5,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,6,0.0794571228325367,1128,11,3,4,0.976,0.33,False,False
6,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,7,0.0835551954805851,1128,11,3,4,0.976,0.33,False,False
7,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,8,0.07996402680873871,1128,11,3,4,0.976,0.33,False,False
8,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,9,0.07836219295859337,1128,11,3,4,0.976,0.33,False,False
9,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 72113d58c4a44824996498240fddb8a2,101,55,10,0.07978957518935204,1128,11,3,4,0.976,0.33,False,False
10,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,1,0.01657746732234955,228,4,3,3,0.975,0.147,False,False
11,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,2,0.017427567392587662,228,4,3,3,0.975,0.147,False,False
12,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,3,0.016291238367557526,228,4,3,3,0.975,0.147,False,False
13,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,4,0.01713770255446434,228,4,3,3,0.975,0.147,False,False
14,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,5,0.015713710337877274,228,4,3,3,0.975,0.147,False,False
15,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,6,0.01634034514427185,228,4,3,3,0.975,0.147,False,False
16,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,7,0.01639499142765999,228,4,3,3,0.975,0.147,False,False
17,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,8,0.0168745219707489,228,4,3,3,0.975,0.147,False,False
18,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,9,0.016710832715034485,228,4,3,3,0.975,0.147,False,False
19,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 6d373be47d8243269aac0eaf39e27c1d,192,24,10,0.016878407448530197,228,4,3,3,0.975,0.147,False,False
20,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,1,0.035799626260995865,492,5,2,3,0.986,0.186,False,False
21,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,2,0.03514637053012848,492,5,2,3,0.986,0.186,False,False
22,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,3,0.034500639885663986,492,5,2,3,0.986,0.186,False,False
