,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero
30,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,1,5.899660600000004,708,21,3,5,1.0,0.288,False,True
31,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,2,5.791180699999984,708,21,3,5,1.0,0.288,False,True
32,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,3,5.716112899999985,708,21,3,5,1.0,0.288,False,True
33,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,4,5.966191999999978,708,21,3,5,1.0,0.288,False,True
34,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,5,5.78109470000004,708,21,3,5,1.0,0.288,False,True
35,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,6,5.792778999999996,708,21,3,5,1.0,0.288,False,True
36,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,7,5.880756499999961,708,21,3,5,1.0,0.288,False,True
37,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,8,5.725300600000082,708,21,3,5,1.0,0.288,False,True
38,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,9,5.800023499999952,708,21,3,5,1.0,0.288,False,True
39,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - f19295fb6356476fa9be8f879e2acc46,90,80,10,5.819866199999979,708,21,3,5,1.0,0.288,False,True
40,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,1,8.008462699999995,762,25,3,4,1.0,0.335,False,True
41,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,2,8.092233400000055,762,25,3,4,1.0,0.335,False,True
42,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,3,8.338918800000101,762,25,3,4,1.0,0.335,False,True
43,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,4,9.101174000000015,762,25,3,4,1.0,0.335,False,True
44,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,5,8.60323799999992,762,25,3,4,1.0,0.335,False,True
45,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,6,8.64108120000003,762,25,3,4,1.0,0.335,False,True
46,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,7,8.617904199999998,762,25,3,4,1.0,0.335,False,True
47,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,8,8.267686099999992,762,25,3,4,1.0,0.335,False,True
48,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,9,8.253623199999993,762,25,3,4,1.0,0.335,False,True
49,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 3f1e59d0a90541f7bdcb291e0a238d97,100,88,10,8.017828000000009,762,25,3,4,1.0,0.335,False,True
50,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,1,6.746517499999982,690,23,3,4,1.0,0.148,False,True
51,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,2,6.757237700000019,690,23,3,4,1.0,0.148,False,True
52,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,3,7.386215900000025,690,23,3,4,1.0,0.148,False,True
53,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,4,6.753462499999955,690,23,3,4,1.0,0.148,False,True
54,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,5,6.803581399999985,690,23,3,4,1.0,0.148,False,True
55,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,6,6.7484613999999965,690,23,3,4,1.0,0.148,False,True
56,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,7,6.715422500000045,690,23,3,4,1.0,0.148,False,True
57,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,8,7.085153900000023,690,23,3,4,1.0,0.148,False,True
58,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,9,6.759080100000006,690,23,3,4,1.0,0.148,False,True
59,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e1a532089ad8499aa2c6a982dec173cc,100,81,10,6.719817400000011,690,23,3,4,1.0,0.148,False,True
60,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,1,5.463223900000003,654,20,3,5,1.0,0.253,False,True
61,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,2,5.465283799999952,654,20,3,5,1.0,0.253,False,True
62,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,3,5.796697100000074,654,20,3,5,1.0,0.253,False,True
63,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,4,5.523408399999994,654,20,3,5,1.0,0.253,False,True
64,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,5,5.491752399999996,654,20,3,5,1.0,0.253,False,True
65,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,6,5.4746119000000135,654,20,3,5,1.0,0.253,False,True
66,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,7,5.514136699999995,654,20,3,5,1.0,0.253,False,True
67,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,8,5.4729308999999375,654,20,3,5,1.0,0.253,False,True
68,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,9,5.669410900000003,654,20,3,5,1.0,0.253,False,True
69,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - e104a705be884572814b64d7e767908b,96,80,10,5.459599799999978,654,20,3,5,1.0,0.253,False,True
70,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,1,7.546746999999982,759,24,3,4,1.0,0.183,False,True
71,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,2,7.533902600000033,759,24,3,4,1.0,0.183,False,True
72,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,3,7.7078001999999515,759,24,3,4,1.0,0.183,False,True
73,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,4,7.294537900000023,759,24,3,4,1.0,0.183,False,True
74,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,5,7.411766299999954,759,24,3,4,1.0,0.183,False,True
75,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,6,7.389922800000022,759,24,3,4,1.0,0.183,False,True
76,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,7,7.385715399999981,759,24,3,4,1.0,0.183,False,True
77,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,8,7.852588900000001,759,24,3,4,1.0,0.183,False,True
78,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,9,7.416392400000177,759,24,3,4,1.0,0.183,False,True
79,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 44782371e47a4da4bc5d6f028096e4e2,110,89,10,7.384884400000146,759,24,3,4,1.0,0.183,False,True
80,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,1,9.433706500000199,855,30,3,5,1.0,0.446,False,True
81,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,2,9.610386399999925,855,30,3,5,1.0,0.446,False,True
82,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,3,10.784226399999852,855,30,3,5,1.0,0.446,False,True
83,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,4,10.336569700000155,855,30,3,5,1.0,0.446,False,True
84,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,5,9.828602399999909,855,30,3,5,1.0,0.446,False,True
85,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,6,10.577565999999933,855,30,3,5,1.0,0.446,False,True
86,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,7,10.40415280000002,855,30,3,5,1.0,0.446,False,True
87,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,8,10.837902900000017,855,30,3,5,1.0,0.446,False,True
88,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,9,10.012514399999873,855,30,3,5,1.0,0.446,False,True
89,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 72113d58c4a44824996498240fddb8a2,101,93,10,9.908934499999987,855,30,3,5,1.0,0.446,False,True
90,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 919098aa5aee4152a38ce4950f9031ab,98,87,1,7.5175683999998455,726,21,3,4,1.0,0.196,False,True
91,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 919098aa5aee4152a38ce4950f9031ab,98,87,2,7.2059953999998925,726,21,3,4,1.0,0.196,False,True
92,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - 919098aa5aee4152a38ce4950f9031ab,98,87,3,7.328150300000061,726,21,3,4,1.0,0.196,False,True
