,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero,IsMinimal
29,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_250_5,251,2,10,0.0007965259719640017,22,1,0,0,1.0,0.046,False,True,True
30,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,1,12.690852523082867,13926,64,7,19,1.0,0.05,False,True,True
31,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,2,12.268919633934274,13926,64,7,19,1.0,0.05,False,True,True
32,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,3,12.132813232019544,13926,64,7,19,1.0,0.05,False,True,True
33,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,4,13.337560483021662,13926,64,7,19,1.0,0.05,False,True,True
34,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,5,12.533772902097553,13926,64,7,19,1.0,0.05,False,True,True
35,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,6,12.613936928100884,13926,64,7,19,1.0,0.05,False,True,True
36,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,7,12.562613626010716,13926,64,7,19,1.0,0.05,False,True,True
37,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,8,12.57526005920954,13926,64,7,19,1.0,0.05,False,True,True
38,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,9,12.46616687788628,13926,64,7,19,1.0,0.05,False,True,True
39,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_500_7,501,374,10,12.290059660794213,13926,64,7,19,1.0,0.05,False,True,True
