,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero
0,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,1,0.5842662999999995,492,5,2,3,0.986,0.186,False,False
1,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,2,0.5399215999999996,492,5,2,3,0.986,0.186,False,False
2,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,3,0.5982101000000029,492,5,2,3,0.986,0.186,False,False
3,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,4,0.552817300000001,492,5,2,3,0.986,0.186,False,False
4,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,5,0.6063852999999995,492,5,2,3,0.986,0.186,False,False
5,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,6,0.6592196000000001,492,5,2,3,0.986,0.186,False,False
6,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,7,0.5411678999999978,492,5,2,3,0.986,0.186,False,False
7,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,8,0.5375104999999962,492,5,2,3,0.986,0.186,False,False
8,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,9,0.5456338999999986,492,5,2,3,0.986,0.186,False,False
9,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,39,10,0.5417419999999993,492,5,2,3,0.986,0.186,False,False
10,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - bbc6e13076f14f4b9f298ae5d370902b,104,55,1,0.9698944999999952,663,8,2,3,0.994,0.223,False,False
11,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - bbc6e13076f14f4b9f298ae5d370902b,104,55,2,0.9724285000000066,663,8,2,3,0.994,0.223,False,False
12,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - bbc6e13076f14f4b9f298ae5d370902b,104,55,3,0.9727206000000024,663,8,2,3,0.994,0.223,False,False
13,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - bbc6e13076f14f4b9f298ae5d370902b,104,55,4,1.2051005000000004,663,8,2,3,0.994,0.223,False,False
