,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero,IsMinimal
0,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_478,205,53,0,0.06345830392092466,519,5,2,3,0.991,0.195,False,False,True
1,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_618,97,42,0,0.04109074408188462,414,4,2,3,0.981,0.22,False,False,True
2,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_134,190,46,0,0.05564685701392591,558,5,2,3,0.975,0.243,False,False,True
3,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_773,204,42,0,0.039758744882419705,294,2,1,1,0.988,0.15,False,False,True
4,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_687,196,56,0,0.07975658378563821,603,7,2,3,0.99,0.166,False,False,True
5,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_586,184,48,0,0.04696688684634864,381,5,2,2,0.998,0.124,False,False,True
6,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_815,207,51,0,0.06554031209088862,603,5,2,3,0.968,0.222,False,False,True
7,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_923,105,52,0,0.07739882497116923,936,9,2,3,0.956,0.252,False,False,True
8,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_121,215,67,0,0.08958066208288074,633,5,2,3,0.975,0.207,False,False,True
9,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_49,210,80,0,0.1090157120488584,795,7,2,3,0.995,0.234,False,False,True
10,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_125,102,25,0,0.0477185919880867,294,4,2,3,0.997,0.135,False,False,True
11,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_523,192,37,0,0.042720811907202005,360,3,2,2,0.985,0.313,False,False,True
12,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_821,96,30,0,0.032910804031416774,297,4,2,2,0.994,0.125,False,False,True
13,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_994,98,33,0,0.0352769591845572,294,3,2,2,0.988,0.189,False,False,True
14,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_598,206,54,0,0.07635435904376209,507,4,2,3,0.991,0.207,False,False,True
15,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_573,185,50,0,0.06692647491581738,477,5,2,2,0.991,0.132,False,False,True
16,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_911,110,48,0,0.05768020614050329,417,4,2,3,0.994,0.143,False,False,True
17,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_120,106,3,0,0.004109397996217012,69,2,1,1,1.0,0.154,False,True,True
18,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_363,107,40,0,0.04670152207836509,342,4,2,3,0.997,0.101,False,False,True
19,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_311,206,71,0,0.1426475951448083,999,9,2,4,0.964,0.2,False,False,True
20,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_984,195,58,0,0.07937525794841349,567,5,2,3,0.981,0.237,False,False,True
21,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_450,101,36,0,0.09185349801555276,873,9,2,3,0.997,0.135,False,False,True
22,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_523,114,46,0,0.057938241166993976,507,7,2,3,0.988,0.132,False,False,True
23,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_462,196,52,0,0.05720647913403809,429,4,2,2,0.989,0.129,False,False,True
24,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_177,98,32,0,0.02423555892892182,249,2,1,1,0.995,0.195,False,False,True
25,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_486,204,86,0,0.16902911593206227,1281,10,2,3,0.985,0.221,False,False,True
26,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_535,201,42,0,0.04791086702607572,354,3,2,2,0.978,0.22,False,False,True
27,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_106,100,35,0,0.04034125781618059,441,4,2,2,0.983,0.22,False,False,True
28,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_616,201,62,0,0.09507937612943351,951,9,2,3,0.979,0.255,False,False,True
29,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_764,202,69,0,0.11460902006365359,978,8,2,3,0.995,0.203,False,False,True
30,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_638,189,39,0,0.034618259873241186,258,2,1,1,0.983,0.137,False,False,True
31,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_576,105,43,0,0.05995063506998122,552,6,2,2,0.985,0.274,False,False,True
32,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_44,202,60,0,0.1076956179458648,1029,9,3,4,0.983,0.221,False,False,True
33,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_200,184,84,0,0.14933521021157503,996,10,2,3,0.986,0.193,False,False,True
34,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_34,96,34,0,0.04637779202312231,402,6,2,2,0.988,0.114,False,False,True
35,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_585,205,33,0,0.03027506498619914,243,3,2,2,0.979,0.116,False,False,True
36,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_667,188,24,0,0.02536567603237927,270,4,2,2,0.992,0.127,False,False,True
37,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_258,198,83,0,0.1499680019915104,1188,10,2,3,0.971,0.24,False,False,True
38,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_459,95,43,0,0.07204917189665139,636,7,3,4,0.995,0.115,False,False,True
39,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_963,195,64,0,0.11962805385701358,1167,10,2,3,0.993,0.234,False,False,True
40,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_64,208,39,0,0.04073997284285724,351,4,2,3,0.986,0.154,False,False,True
41,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_443,206,78,0,0.12308477517217398,1029,8,2,3,0.99,0.256,False,False,True
42,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_443,110,49,0,0.06188511103391647,621,7,2,3,0.986,0.157,False,False,True
43,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_274,202,66,0,0.0948404329828918,873,7,2,3,0.975,0.25,False,False,True
44,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_200_211,199,61,0,0.09533268213272095,861,9,2,3,0.983,0.223,False,False,True
45,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_100_649,98,56,0,0.10388760617934167,1335,12,3,4,0.989,0.288,False,False,True
