,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero
0,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,1,4.029895599999996,10461,5,2,4,1.0,0.537,False,True
1,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,2,3.876956700000001,10461,5,2,4,1.0,0.537,False,True
2,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,3,3.8945453999999984,10461,5,2,4,1.0,0.537,False,True
3,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,4,3.8804265999999927,10461,5,2,4,1.0,0.537,False,True
4,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,5,3.8916075000000063,10461,5,2,4,1.0,0.537,False,True
5,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,6,4.018542400000001,10461,5,2,4,1.0,0.537,False,True
6,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,7,4.1054830999999865,10461,5,2,4,1.0,0.537,False,True
7,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,8,3.86919020000002,10461,5,2,4,1.0,0.537,False,True
8,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,9,3.8638950000000136,10461,5,2,4,1.0,0.537,False,True
9,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_0,51,52,10,3.9255318999999815,10461,5,2,4,1.0,0.537,False,True
10,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,1,4.3452886000000035,10769,6,2,4,1.0,0.359,False,True
11,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,2,4.476627000000008,10769,6,2,4,1.0,0.359,False,True
12,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,3,4.539154800000006,10769,6,2,4,1.0,0.359,False,True
13,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,4,4.344451300000003,10769,6,2,4,1.0,0.359,False,True
14,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,5,4.510101100000043,10769,6,2,4,1.0,0.359,False,True
15,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,6,4.36693489999999,10769,6,2,4,1.0,0.359,False,True
16,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,7,4.344809599999962,10769,6,2,4,1.0,0.359,False,True
17,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,8,4.455683899999997,10769,6,2,4,1.0,0.359,False,True
18,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,9,4.433455200000026,10769,6,2,4,1.0,0.359,False,True
19,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_1,51,52,10,4.5364328,10769,6,2,4,1.0,0.359,False,True
20,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,1,2.1098011999999926,6424,2,1,1,0.991,0.33,False,False
21,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,2,2.0930049000000395,6424,2,1,1,0.991,0.33,False,False
22,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,3,2.0772786999999653,6424,2,1,1,0.991,0.33,False,False
23,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,4,2.0610328999999865,6424,2,1,1,0.991,0.33,False,False
24,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,5,2.0825940999999943,6424,2,1,1,0.991,0.33,False,False
25,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,6,2.100357699999961,6424,2,1,1,0.991,0.33,False,False
26,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,7,2.156908999999928,6424,2,1,1,0.991,0.33,False,False
27,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,8,2.0669469000000618,6424,2,1,1,0.991,0.33,False,False
28,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,9,2.0943369000000303,6424,2,1,1,0.991,0.33,False,False
29,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_2,51,51,10,2.1098544000000174,6424,2,1,1,0.991,0.33,False,False
30,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,1,3.4916634999999587,8954,4,2,3,1.0,0.422,False,True
31,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,2,3.5840296999999737,8954,4,2,3,1.0,0.422,False,True
32,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,3,3.3264085999999224,8954,4,2,3,1.0,0.422,False,True
33,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,4,3.3558462000000873,8954,4,2,3,1.0,0.422,False,True
34,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,5,3.335437500000012,8954,4,2,3,1.0,0.422,False,True
35,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,6,3.3955660999999964,8954,4,2,3,1.0,0.422,False,True
36,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,7,3.3111686999999392,8954,4,2,3,1.0,0.422,False,True
37,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,8,3.3143704999999954,8954,4,2,3,1.0,0.422,False,True
38,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,9,3.314471700000013,8954,4,2,3,1.0,0.422,False,True
39,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,10,3.3723216000000775,8954,4,2,3,1.0,0.422,False,True
40,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,1,3.1464879999999766,8470,4,2,3,0.961,0.312,False,False
41,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,2,3.1285755999999765,8470,4,2,3,0.961,0.312,False,False
42,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,3,3.1189310999999407,8470,4,2,3,0.961,0.312,False,False
43,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,4,3.1226672000000235,8470,4,2,3,0.961,0.312,False,False
44,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,5,3.1369015999999874,8470,4,2,3,0.961,0.312,False,False
45,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,6,3.1892586000000165,8470,4,2,3,0.961,0.312,False,False
46,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,7,3.1866394999999557,8470,4,2,3,0.961,0.312,False,False
47,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,8,3.1337360999999646,8470,4,2,3,0.961,0.312,False,False
48,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,9,3.150064000000043,8470,4,2,3,0.961,0.312,False,False
49,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_4,50,49,10,3.313172399999985,8470,4,2,3,0.961,0.312,False,False
50,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,1,3.438972499999977,8855,4,2,3,1.0,0.401,False,True
51,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,2,3.5041632999999592,8855,4,2,3,1.0,0.401,False,True
52,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,3,3.6143867000000682,8855,4,2,3,1.0,0.401,False,True
53,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,4,3.401964600000042,8855,4,2,3,1.0,0.401,False,True
54,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,5,3.4823383000000376,8855,4,2,3,1.0,0.401,False,True
55,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,6,3.428421500000013,8855,4,2,3,1.0,0.401,False,True
56,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,7,3.393079200000102,8855,4,2,3,1.0,0.401,False,True
57,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,8,3.4058385999999246,8855,4,2,3,1.0,0.401,False,True
58,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,9,3.3982842000000346,8855,4,2,3,1.0,0.401,False,True
59,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_5,51,52,10,3.4465182999999797,8855,4,2,3,1.0,0.401,False,True
60,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,1,2.4192587000000003,7117,2,1,1,0.987,0.408,False,False
61,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,2,2.4212219999999434,7117,2,1,1,0.987,0.408,False,False
62,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,3,2.410267200000135,7117,2,1,1,0.987,0.408,False,False
63,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,4,2.417934500000001,7117,2,1,1,0.987,0.408,False,False
64,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,5,2.433076599999822,7117,2,1,1,0.987,0.408,False,False
65,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,6,2.4072971000000507,7117,2,1,1,0.987,0.408,False,False
66,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,7,2.3969723999998678,7117,2,1,1,0.987,0.408,False,False
67,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,8,2.408824999999979,7117,2,1,1,0.987,0.408,False,False
68,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,9,2.413719300000139,7117,2,1,1,0.987,0.408,False,False
69,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_6,51,51,10,2.388781400000198,7117,2,1,1,0.987,0.408,False,False
