,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero
32,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_9_8,51,26,3,0.11581844463944435,1947,6,3,5,0.999,0.048,False,False
33,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_9_8,51,26,4,0.11605440825223923,1947,6,3,5,0.999,0.048,False,False
34,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_9_8,51,26,5,0.11557357013225555,1947,6,3,5,0.999,0.048,False,False
35,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_9_8,51,26,6,0.11495726555585861,1947,6,3,5,0.999,0.048,False,False
36,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_9_8,51,26,7,0.11542414128780365,1947,6,3,5,0.999,0.048,False,False
37,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_9_8,51,26,8,0.11366145312786102,1947,6,3,5,0.999,0.048,False,False
38,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_9_8,51,26,9,0.11921592429280281,1947,6,3,5,0.999,0.048,False,False
39,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_9_8,51,26,10,0.11980713158845901,1947,6,3,5,0.999,0.048,False,False
40,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,1,0.24789993837475777,8954,4,2,3,1.0,0.422,False,True
41,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,2,0.4387345165014267,8954,4,2,3,1.0,0.422,False,True
42,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,3,0.2717237360775471,8954,4,2,3,1.0,0.422,False,True
43,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,4,0.25633037462830544,8954,4,2,3,1.0,0.422,False,True
44,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,5,0.24797164276242256,8954,4,2,3,1.0,0.422,False,True
45,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,6,0.2588794454932213,8954,4,2,3,1.0,0.422,False,True
46,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,7,0.2484036423265934,8954,4,2,3,1.0,0.422,False,True
47,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,8,0.25447797402739525,8954,4,2,3,1.0,0.422,False,True
48,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,9,0.2618401162326336,8954,4,2,3,1.0,0.422,False,True
49,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_1_3,51,52,10,0.46175510063767433,8954,4,2,3,1.0,0.422,False,True
50,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_7_9,51,52,1,0.18548255786299706,4664,2,1,1,1.0,0.066,False,True
51,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_7_9,51,52,2,0.19142992794513702,4664,2,1,1,1.0,0.066,False,True
52,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_7_9,51,52,3,0.181510541588068,4664,2,1,1,1.0,0.066,False,True
53,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_7_9,51,52,4,0.17817186564207077,4664,2,1,1,1.0,0.066,False,True
54,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_7_9,51,52,5,0.18969491124153137,4664,2,1,1,1.0,0.066,False,True
55,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_7_9,51,52,6,0.18052754178643227,4664,2,1,1,1.0,0.066,False,True
56,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_7_9,51,52,7,0.17948968335986137,4664,2,1,1,1.0,0.066,False,True
57,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_7_9,51,52,8,0.19190498813986778,4664,2,1,1,1.0,0.066,False,True
